Index,Country,CountryA3,Sub_sector,G19,EU,OECD, Entity,Sector,,,
256,Argentina,ARG,Food and catering,1,0,0,Industries,Restaurants,,,
257,Argentina,ARG,Freight transport,1,0,0,Industries,Passenger transportation,,,
258,Argentina,ARG,Freight transport,1,0,0,Industries,Land freight transport,,,
259,Argentina,ARG,Freight transport,1,0,0,Industries,Pipeline Transport,,,
260,Argentina,ARG,Freight transport,1,0,0,Industries,Shipping,,,
261,Argentina,ARG,Freight transport,1,0,0,Industries,Air transport,,,
262,Argentina,ARG,Freight transport,1,0,0,Industries,Transport activities,,,
263,Argentina,ARG,Services,1,0,0,Industries,Post service,,,
264,Argentina,ARG,Information and Communication Technologies,1,0,0,Industries,Telecommunications,,,
265,Argentina,ARG,Business services,1,0,0,Industries,Financial Institutions,,,
266,Argentina,ARG,Business services,1,0,0,Industries,Insurance,,,
267,Argentina,ARG,Business services,1,0,0,Industries,Business services and professional,,,
268,Argentina,ARG,Business services,1,0,0,Industries,Real estate,,,
269,Argentina,ARG,Services,1,0,0,Industries,Public administration and defense and social security schemes of compulsory,,,
270,Argentina,ARG,Services,1,0,0,Industries,Public education,,,
271,Argentina,ARG,Services,1,0,0,Industries,Private Education,,,
272,Argentina,ARG,Health and social work,1,0,0,Industries,Public human health,,,
273,Argentina,ARG,Health and social work,1,0,0,Industries,Private human health,,,
274,Argentina,ARG,Health and social work,1,0,0,Industries,Veterinary services,,,
275,Argentina,ARG,Health and social work,1,0,0,Industries,Social Services,,,
276,Argentina,ARG,"Sanitation, waste, recycling",1,0,0,Industries,Sanitation,,,
277,Argentina,ARG,Services,1,0,0,Industries,Partnerships Activity,,,
278,Argentina,ARG,Information and Communication Technologies,1,0,0,Industries,"Cinema services, radio and television",,,
279,Argentina,ARG,Services,1,0,0,Industries,"Personal services, repair, sports and leisure activities",,,
280,Argentina,ARG,Other procurement,1,0,0,Industries,Housekeeping,,,
281,Argentina,ARG,Other procurement,1,0,0,Industries,Reexport,,,
282,Argentina,ARG,Food and catering,1,0,0,Commodities,Cereals,,,
283,Argentina,ARG,Food and catering,1,0,0,Commodities,Vegetables and legumes,,,
284,Argentina,ARG,Food and catering,1,0,0,Commodities,Fruits and nuts,,,
285,Argentina,ARG,Food and catering,1,0,0,Commodities,Oil seeds and oleaginous fruits,,,
286,Argentina,ARG,Food and catering,1,0,0,Commodities,"Live plants, flowers and flower buds, seeds of flowers and fruits, vegetable seeds",,,
287,Argentina,ARG,Food and catering,1,0,0,Commodities,Plant crops and spices beverages,,,
288,Argentina,ARG,Food and catering,1,0,0,Commodities,Snuff unprocessed,,,
289,Argentina,ARG,Food and catering,1,0,0,Commodities,Plants used for sugar manufacturing,,,
290,Argentina,ARG,Food and catering,1,0,0,Commodities,Raw vegetable materials nec,,,
291,Argentina,ARG,Food and catering,1,0,0,Commodities,Live animals,,,
292,Argentina,ARG,Food and catering,1,0,0,Commodities,Other animal products,,,
293,Argentina,ARG,Wood and paper,1,0,0,Commodities,Raw wood,,,
294,Argentina,ARG,Wood and paper,1,0,0,Commodities,Natural gums,,,
295,Argentina,ARG,Wood and paper,1,0,0,Commodities,Other forestry products (includes charcoal),,,
296,Argentina,ARG,Food and catering,1,0,0,Commodities,"Fish live, fresh or chilled",,,
297,Argentina,ARG,Food and catering,1,0,0,Commodities,"Not frozen crustaceans, oysters, other invertebrates, live, fresh or chilled",,,
298,Argentina,ARG,Food and catering,1,0,0,Commodities,Other aquatic products,,,
299,Argentina,ARG,Fossil fuel extraction,1,0,0,Commodities,"Coal and lignite, peat",,,
300,Argentina,ARG,Fossil fuel extraction,1,0,0,Commodities,Crude oil and natural gas,,,
301,Argentina,ARG,Mining,1,0,0,Commodities,Ores and concentrates of uranium and thorium,,,
302,Argentina,ARG,Mining,1,0,0,Commodities,"Iron ores and concentrates, other than roasted iron pyrites",,,
303,Argentina,ARG,Mining,1,0,0,Commodities,Ores and concentrates of nonferrous metals (except ores and concentrates of uranium or thorium),,,
304,Argentina,ARG,Mining,1,0,0,Commodities,Building or carving stone,,,
305,Argentina,ARG,Mining,1,0,0,Commodities,"Gypsum; anhydrite, limestone flux, limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,
306,Argentina,ARG,Mining,1,0,0,Commodities,"Arenas, songs, gravel, broken or crushed stone, natural bitumen and asphalt",,,
307,Argentina,ARG,Mining,1,0,0,Commodities,Clays,,,
308,Argentina,ARG,Mining,1,0,0,Commodities,Chemical and fertilizer minerals,,,
309,Argentina,ARG,Mining,1,0,0,Commodities,"Salt and pure sodium chloride, sea water",,,
310,Argentina,ARG,Mining,1,0,0,Commodities,"Precious and semiprecious stones, pumice stone, emery, natural abrasives, other minerals",,,
311,Argentina,ARG,"Heating, water and electricity",1,0,0,Commodities,"Electricity, but distribution service",,,
312,Argentina,ARG,Manufactured fuels/gases,1,0,0,Commodities,"Coal gas, water gas, producer gas and other similar gases, other than petroleum gases and other gaseous hydrocarbons",,,
313,Argentina,ARG,Food and catering,1,0,0,Commodities,Meat and meat products,,,
314,Argentina,ARG,Food and catering,1,0,0,Commodities,Prepared or preserved fish,,,
315,Argentina,ARG,Food and catering,1,0,0,Commodities,Vegetables prepared or preserved,,,
316,Argentina,ARG,Food and catering,1,0,0,Commodities,Fruit and vegetable juices,,,
317,Argentina,ARG,Food and catering,1,0,0,Commodities,"Fruits and nuts, prepared or preserved",,,
318,Argentina,ARG,Food and catering,1,0,0,Commodities,Oils and animal fats and vegetable,,,
319,Argentina,ARG,Food and catering,1,0,0,Commodities,"Cotton linters, oilseed cake, flours of seeds or oleaginous fruits, vegetable waxes",,,
320,Argentina,ARG,Food and catering,1,0,0,Commodities,Dairy Products,,,
321,Argentina,ARG,Food and catering,1,0,0,Commodities,"Milling products. starches and starch products, sugars and sugar syrups nec",,,
322,Argentina,ARG,Food and catering,1,0,0,Commodities,Preparations used for animal feed,,,
323,Argentina,ARG,Food and catering,1,0,0,Commodities,Bakery Products,,,
324,Argentina,ARG,Food and catering,1,0,0,Commodities,Sugar,,,
325,Argentina,ARG,Food and catering,1,0,0,Commodities,"Cocoa, chocolate and sugar confectionery",,,
326,Argentina,ARG,Food and catering,1,0,0,Commodities,"Macaroni, noodles, couscous and similar farinaceous products",,,
327,Argentina,ARG,Food and catering,1,0,0,Commodities,Foodstuffs nec,,,
328,Argentina,ARG,Food and catering,1,0,0,Commodities,Alcoholic beverages nec,,,
329,Argentina,ARG,Food and catering,1,0,0,Commodities,Wines,,,
330,Argentina,ARG,Food and catering,1,0,0,Commodities,Beer and malt,,,
331,Argentina,ARG,Food and catering,1,0,0,Commodities,"Soft drinks, bottled mineral water",,,
332,Argentina,ARG,Other procurement,1,0,0,Commodities,Snuff products,,,
333,Argentina,ARG,Clothing,1,0,0,Commodities,Natural textile fibers ready for spinning,,,
334,Argentina,ARG,Clothing,1,0,0,Commodities,"Textile staple fibers, processed for spinning",,,
335,Argentina,ARG,Clothing,1,0,0,Commodities,Yarns and threads for textile fibers,,,
336,Argentina,ARG,Clothing,1,0,0,Commodities,Fabrics,,,
